FID,BuildingCl,BuildingUs,BUILDINGID,RuleID,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
4693,Residential,Single Family Detached - R1,5167,1,14.2094817944,12.1532988626,30.7578125,22.597635137333
4694,Residential,Single Family Detached - R1,918,1,55.8072033927,151.332067677,382.953125,88.7766522996276
4695,Residential,Single Family Detached - R1,1874,1,77.6010830372,226.147095516,572.5625,123.472700513603
4696,Residential,Single Family Detached - R1,919,1,69.2652787327,247.382761912,626.0078125,110.180583612622
4697,Residential,Single Family Detached - R1,1875,1,69.6880525036,264.939104022,670.7578125,110.893874297941
4698,Residential,Single Family Detached - R1,920,1,51.4245601776,165.162573108,417.9453125,81.8054421269659
4699,Residential,Single Family Detached - R1,5168,1,47.2802467214,131.88201409,333.7109375,75.1979790768503
4700,Residential,Single Family Detached - R1,1876,1,67.2955005883,230.160927814,582.703125,107.076071035606
4701,Residential,Single Family Detached - R1,921,1,51.5428666471,156.208755542,395.296875,81.9944840232046
4702,Residential,Single Family Detached - R1,1877,1,46.8303602506,132.01547747,334.2265625,74.4939228075347
4703,Residential,Single Family Detached - R1,922,1,47.3774888378,125.95013628,318.7109375,75.3623280918001
4704,Residential,Single Family Detached - R1,5169,1,63.3765210721,199.418563351,504.6015625,100.835463441773
4705,Residential,Accessory Building,1878,1,33.4698084575,69.9674376983,177.140625,53.2565999727895
4706,Residential,Single Family Detached - R1,923,1,49.7297663095,142.424071671,360.40625,79.1049610095111
4707,Residential,Single Family Detached - R1,924,1,46.0023139625,128.827419914,326.0078125,73.1792346455593
4708,Residential,Accessory Building,1879,1,11.6047038515,8.41058798367,21.2890625,18.4652158166723
4709,Residential,Single Family Detached - R1,925,1,60.2949897853,168.305279531,425.90625,95.9147242132
4710,Residential,Single Family Detached - R1,1880,1,50.810933455,150.297595466,380.5,80.8395742983291
4711,Residential,Single Family Detached - R1,5170,1,67.8711940516,221.794974438,561.2109375,107.996273876772
4712,Residential,Single Family Detached - R1,926,1,45.4541205043,116.179960149,294,72.3063734007708
4713,Residential,Single Family Detached - R1,1881,1,50.2881618834,150.434318486,380.8515625,79.9969258252085
4714,Residential,Accessory Building,927,1,19.8703165297,23.167007334,58.625,31.6085100013759
4715,Residential,Single Family Detached - R1,1882,1,43.1345840267,114.383161413,289.578125,68.6208112430647
4716,Residential,Single Family Detached - R1,928,1,54.0837985679,155.662458417,393.9140625,86.0314560723521
4717,Residential,Single Family Detached - R1,5171,1,56.9525540632,191.16795095,483.7265625,90.6068040226953
4718,Residential,Accessory Building,1883,1,28.088896814,48.1086441376,121.796875,44.7024578142939
4719,Residential,Accessory Building,929,1,18.1939021713,20.2407812624,51.2265625,28.948473288838
4720,Residential,Single Family Detached - R1,1884,1,55.1428180178,160.917632964,407.390625,87.7435309918316
4721,Residential,Single Family Detached - R1,930,1,56.6436151126,173.581862852,439.2734375,90.1095754658665
4722,Residential,Single Family Detached - R1,931,1,58.4830838625,194.007297481,490.953125,93.0412434342243
4723,Residential,Single Family Detached - R1,5172,1,66.9845887594,238.273071907,602.921875,106.583859425253
4724,Residential,Single Family Detached - R1,1885,1,84.9270052548,227.400935442,575.6875,135.159266994778
4725,Residential,Single Family Detached - R1,932,1,13.2818249382,11.0254258829,27.8984375,21.1288845394135
4726,Residential,Single Family Detached - R1,933,1,61.9601845772,222.110076226,562.09375,98.5687666150744
4727,Residential,Single Family Detached - R1,1886,1,57.3251604878,188.739303134,477.8359375,91.2161613283104
4728,Residential,Accessory Building,934,1,10.089627538,6.2685957055,15.859375,16.0520984056253
4729,Residential,Single Family Detached - R1,5173,1,58.2020326265,212.098346415,536.6796875,92.5951425968534
4730,Residential,Single Family Detached - R1,1887,1,45.5179373112,125.930118153,318.8125,72.4094252686151
4731,Residential,Duplex - R2,935,1,85.1467876166,301.513642728,763.046875,135.438511836055
4732,Residential,Accessory Building,1888,1,30.4600931078,57.6478121074,145.9375,48.4611541308013
4733,Residential,Duplex - R2,936,1,70.9251357778,308.899676641,781.71875,112.826754296292
4734,Residential,Single Family Detached - R1,1889,1,51.0030143213,158.447905046,401.1484375,81.1376581048823
4735,Residential,Single Family Detached - R1,5174,1,59.3744798207,208.038249757,526.375,94.4259761737534
4736,Residential,Duplex - R2,945,1,79.814828974,367.561892694,930.21875,126.971066711921
4737,Residential,Single Family Detached - R1,1890,1,29.6060415247,54.5348764964,138.0625,47.1115256947585
4738,Residential,Duplex - R2,946,1,40.6173226492,99.0358849297,250.6328125,64.6247067156054
4739,Residential,Single Family Detached - R1,1891,1,63.0386735534,207.813814987,526.125,100.348225449939
4740,Residential,Accessory Building,947,1,11.4884417567,8.24895158288,20.875,18.2762836240381
4741,Residential,Accessory Building,1892,1,16.2226170288,15.907762024,40.265625,25.8183777964536
4742,Residential,Single Family Detached - R1,5175,1,65.7063295844,230.740777185,583.828125,104.470430047155
4743,Residential,Accessory Building,948,1,25.3321163738,38.9090713377,98.46875,40.2943510268792
4744,Residential,Single Family Detached - R1,1893,1,61.6435391838,177.078379945,448.3125,98.1281737855044
4745,Residential,Accessory Building,949,1,14.7341266887,13.5621650067,34.3203125,23.439216367293
4746,Residential,Single Family Detached - R1,1894,1,47.5924537109,135.975324494,344.2578125,75.7388278302437
4747,Residential,Single Family Detached - R1,5176,1,64.0467610231,214.703093258,543.265625,101.837026090291
4748,Residential,Accessory Building,952,1,15.2880462189,14.2387951071,36.03125,24.3181632376541
4749,Residential,Accessory Building,1895,1,21.2487067509,27.4161489231,69.40625,33.8026821494519
4750,Residential,Duplex - R2,953,1,47.5903051055,129.707804425,328.2578125,75.7157035868627
4751,Residential,Single Family Detached - R1,1896,1,48.0260352286,124.225436402,314.5234375,76.4194441793002
4752,Residential,Single Family Detached - R1,5177,1,65.5560599803,231.06964846,584.6640625,104.24049327592
4753,Residential,Duplex - R2,954,1,31.472611123,61.8616153734,156.5546875,50.0672634283593
4754,Residential,Single Family Detached - R1,1897,1,63.7419308533,180.626593888,457.3125,101.455912735963
4755,Residential,Single Family Detached - R1,5178,1,14.8776735323,13.5187367232,34.2109375,23.6616027854432
4756,Residential,Accessory Building,1898,1,18.0195113014,19.4906103323,49.3515625,28.6796918665132
4757,Residential,Single Family Detached - R1,5179,1,65.7957146849,221.912635597,561.5234375,104.642592720449
4758,Residential,Accessory Building,1899,1,29.0067875325,52.3328268095,132.4921875,46.158960319332
4759,Residential,Single Family Detached - R1,5180,1,57.9417630785,202.565811366,512.5546875,92.1819478138248
4760,Residential,Single Family Detached - R1,1900,1,57.0375218647,174.480273554,441.7421875,90.7639446485947
4761,Residential,Single Family Detached - R1,5181,1,73.5055669504,287.467024785,727.3984375,116.965204373835
4762,Residential,Duplex - R2,955,1,46.4826736908,124.255868398,314.46875,73.9564903714364
4763,Residential,Single Family Detached - R1,5182,1,56.6605880647,198.36480864,501.9375,90.1426008604348
4764,Residential,Single Family Detached - R1,1901,1,47.5106983249,138.211611905,349.9296875,75.5835544612929
4765,Residential,Single Family Detached - R1,5183,1,63.0365010218,222.21653778,562.265625,100.300564283801
4766,Residential,Accessory Building,1902,1,33.0820985748,68.3206360713,172.9765625,52.641597452875
4767,Residential,Accessory Building,956,1,14.2897853187,12.3657232082,31.296875,22.7355064235342
4768,Residential,Single Family Detached - R1,5184,1,76.3972580398,278.198446468,703.9375,121.581903893821
4769,Residential,Accessory Building,1903,1,12.8407566147,10.0796628588,25.515625,20.4357997361018
4770,Residential,Single Family Detached - R1,957,1,62.7312349602,186.224866811,471.2734375,99.7957653752891
4771,Residential,Mobile Home Park - MHP,5214,1,6.09545019032,2.31658088412,5.8515625,9.69570966048503
4772,Residential,Single Family Detached - R1,958,1,42.8596073219,111.43224343,282.0078125,68.1936992656685
4773,Residential,Single Family Detached - R1,1904,1,62.6775524594,215.957788944,546.765625,99.7159050172763
4774,Residential,Mobile Home Park - MHP,5277,1,64.6934432583,247.855069929,627.140625,102.931127312816
4775,Residential,Single Family Detached - R1,959,1,49.9344244934,138.775965525,351.203125,79.4366017392309
4776,Residential,Accessory Building,1905,1,33.2587261476,68.9885230113,174.6640625,52.9168442986931
4777,Residential,Mobile Home Park - MHP,5299,1,9.81905306852,6.02560680623,15.2421875,15.6191512411361
4778,Residential,Single Family Detached - R1,960,1,52.8026736488,156.546007579,396.140625,83.9924859488972
4779,Residential,Accessory Building,1906,1,17.4954509801,16.4565792131,41.6484375,27.8487549153037
4780,Residential,Mobile Home Park - MHP,5300,1,58.1666364035,122.069825029,308.875,92.5739051522379
4781,Residential,Single Family Detached - R1,961,1,58.1012394653,196.241488474,496.640625,92.4185162902344
4782,Residential,Accessory Building,1907,1,34.3444858511,73.6037240891,186.359375,54.6447852573537
4783,Residential,Mobile Home Park - MHP,5301,1,52.4466537033,102.625035124,259.6640625,83.4853758360958
4784,Residential,Accessory Building,962,1,10.3862349933,6.50229486382,16.4453125,16.5249175843299
4785,Residential,Single Family Detached - R1,1908,1,43.1619158941,100.163825786,253.59375,68.7042461824421
4786,Residential,Mobile Home Park - MHP,5302,1,10.6661548685,7.00420337545,17.71875,16.9689851563611
4787,Residential,Single Family Detached - R1,963,1,46.1546190588,129.207006624,326.984375,73.4073988094507
4788,Residential,Single Family Detached - R1,1909,1,45.8339808609,124.664595816,315.6328125,72.9504494855391
4789,Residential,Mobile Home Park - MHP,5303,1,42.7043825936,74.8437266978,189.375,67.877312621429
4790,Residential,Accessory Building,964,1,11.0825279836,6.99446259959,17.7109375,17.6374375982808
4791,Residential,Mobile Home Park - MHP,5304,1,12.5870404147,9.761647257,24.703125,20.0190535517583
4792,Residential,Single Family Detached - R1,1910,1,40.9484961714,96.9303939921,245.4140625,65.1374649407153
4793,Residential,Single Family Detached - R1,965,1,45.1267658308,127.27655979,322.109375,71.7891533015245
4794,Residential,Mobile Home Park - MHP,5305,1,60.3179985835,133.958362964,338.96875,96.0010066507795
4795,Residential,Single Family Detached - R1,1911,1,84.8351266149,265.98453545,673.4140625,134.988301390866
4796,Residential,Accessory Building,966,1,11.6163847015,9.72599991101,24.6171875,18.4797467898652
4797,Residential,Mobile Home Park - MHP,5306,1,7.567128573,3.16626951169,8.0078125,12.0323576294759
4798,Residential,Single Family Detached - R1,1912,1,55.2687584354,135.029249159,341.8671875,87.9545655104412
4799,Residential,Townhouse/Apartment/Walk Up - R3,967,1,60.2228991571,224.615008246,568.453125,95.7932738839088
4800,Residential,Mobile Home Park - MHP,5307,1,63.4488455891,154.210680974,390.21875,100.983339057212
4801,Residential,Single Family Detached - R1,1913,1,42.6616805094,113.305769139,286.8515625,67.8865131095816
4802,Residential,Townhouse/Apartment/Walk Up - R3,968,1,55.2904078504,190.717651491,482.6796875,87.9634889420903
4803,Residential,Mobile Home Park - MHP,5308,1,12.463836383,9.70824255248,24.5625,19.8263640710762
4804,Residential,Single Family Detached - R1,1914,1,74.8415215592,226.356876313,573.078125,119.130637967962
4805,Residential,Townhouse/Apartment/Walk Up - R3,969,1,67.6476542322,208.715379387,528.234375,107.638488964109
4806,Residential,Mobile Home Park - MHP,5309,1,14.0923264288,12.1067863074,30.6328125,22.4126944949469
4807,Residential,Single Family Detached - R1,1915,1,52.8411267256,134.78864547,341.2421875,84.1092132202691
4808,Residential,Townhouse/Apartment/Walk Up - R3,970,1,68.7696000629,215.074070103,544.3046875,109.434195828417
4809,Residential,Mobile Home Park - MHP,5310,1,62.6196808617,132.295743714,334.765625,99.6647633981562
4810,Residential,Single Family Detached - R1,1916,1,53.6948772425,175.574856852,444.5078125,85.4544102571769
4811,Residential,Townhouse/Apartment/Walk Up - R3,971,1,67.5836612133,206.86530841,523.5625,107.530044893154
4812,Residential,Mobile Home Park - MHP,5311,1,63.0934826012,166.26641371,420.71875,100.418585072532
4813,Residential,Accessory Building,1917,1,29.3611919887,53.7511660021,136.0703125,46.7207152825341
4814,Residential,Townhouse/Apartment/Walk Up - R3,972,1,55.8336793835,194.726536692,492.8203125,88.8224790884569
4815,Residential,Mobile Home Park - MHP,5312,1,12.6320969468,9.90666307605,25.0703125,20.0920092191215
4816,Residential,Accessory Building,1918,1,14.4521813127,12.7690401334,32.328125,22.9998700193896
4817,Residential,Accessory Building,973,1,11.9933293015,8.97230762356,22.7109375,19.0803147610065
4818,Residential,Mobile Home Park - MHP,5313,1,57.9908314462,126.787361234,320.8046875,92.3110714676286
4819,Residential,Accessory Building,1919,1,10.0788299321,6.14367734264,15.5625,16.0330128924252
4820,Residential,Duplex - R2,974,1,66.6996392881,201.635364216,510.3125,106.09575730858
4821,Residential,Mobile Home Park - MHP,5314,1,11.0978415888,7.621242194,19.296875,17.651220844579
4822,Residential,Duplex - R2,975,1,56.1181932552,184.023689682,465.71875,89.2815876719832
4823,Residential,Mobile Home Park - MHP,5315,1,62.7059847362,139.291331612,352.4375,99.8031727095798
4824,Residential,Single Family Detached - R1,1920,1,69.6352673297,190.655951408,482.6796875,110.829702793162
4825,Residential,Duplex - R2,976,1,50.1603239475,134.117327769,339.421875,79.7906346378876
4826,Residential,Mobile Home Park - MHP,5316,1,62.7140890199,139.465433271,352.8828125,99.815419423247
4827,Residential,Single Family Detached - R1,1921,1,45.4571996949,111.158413903,281.4140625,72.3397341500884
4828,Residential,Accessory Building,977,1,25.7128953787,34.3244570476,86.875,40.8965264459469
4829,Residential,Mobile Home Park - MHP,5317,1,10.7801999177,7.0329379075,17.7890625,17.1446483485556
4830,Residential,Single Family Detached - R1,1922,1,50.1279968463,141.700777816,358.734375,79.7931750409177
4831,Residential,Accessory Building,978,1,15.2423108913,14.5079489415,36.7109375,24.2490097421677
4832,Residential,Mobile Home Park - MHP,5318,1,44.824569474,118.963490452,301.015625,71.3179914266098
4833,Residential,Accessory Building,1923,1,29.1031699362,51.633890333,130.7265625,46.2973293716768
4834,Residential,Duplex - R2,979,1,68.8672313909,214.068046004,541.7734375,109.569618511396
4835,Residential,Single Family Detached - R1,1924,1,47.7820015048,125.9328324,318.8046875,76.0296305271632
4836,Residential,Duplex - R2,980,1,61.3538777732,194.215374712,491.5390625,97.5899571063419
4837,Residential,Single Family Detached - R1,1925,1,55.0158400872,154.365389102,390.8046875,87.5206510954668
4838,Residential,Single Family Detached - R1,981,1,80.2289252382,348.174057254,881.2109375,127.626495118434
4839,Residential,Accessory Building,1926,1,7.04476718972,2.98515590956,7.5546875,11.2120758670481
4840,Residential,Single Family Detached - R1,982,1,44.5552921332,112.731888224,285.328125,70.8879582613852
4841,Residential,Accessory Building,1927,1,13.7920000128,11.808048022,29.890625,21.9425482827851
4842,Residential,Accessory Building,983,1,9.79594733395,5.93450624392,15.03125,15.5861623304079
4843,Residential,Single Family Detached - R1,1928,1,49.281594759,128.310397083,324.8515625,78.4179755055772
4844,Residential,Single Family Detached - R1,984,1,63.4880206884,180.86762421,457.7734375,101.021710939282
4845,Residential,Accessory Building,1929,1,25.7070819605,41.1648063807,104.21875,40.9066259339761
4846,Residential,Single Family Detached - R1,985,1,49.6772859497,140.199468696,354.84375,79.0086484794176
4847,Residential,Single Family Detached - R1,1930,1,69.9635277333,225.936538519,572.0078125,111.358492970355
4848,Residential,Single Family Detached - R1,1931,1,55.5531420401,180.102954182,455.9609375,88.4032359022504
4849,Residential,Single Family Detached - R1,1932,1,65.5963791413,209.617183492,530.671875,104.383869800716
4850,Residential,Accessory Building,1933,1,8.65297660595,4.62578900862,11.71875,13.7699949142127
4851,Residential,Accessory Building,1934,1,16.0592033834,15.9821961562,40.46875,25.5492542703135
4852,Residential,Accessory Building,986,1,10.7784012763,7.05825969648,17.859375,17.150628402988
4853,Residential,Single Family Detached - R1,1935,1,63.414836829,203.089813056,514.15625,100.867970093121
4854,Residential,Single Family Detached - R1,1936,1,62.5577917927,201.677906822,510.5703125,99.5558101793881
4855,Residential,Single Family Detached - R1,1937,1,60.0262938334,197.505067188,500.0078125,95.5184484707568
4856,Residential,Single Family Detached - R1,987,1,52.4657213186,148.826369694,376.671875,83.4388624320714
4857,Residential,Accessory Building,1938,1,24.4546201273,37.1892376533,94.1484375,38.910845015936
4858,Residential,Single Family Detached - R1,988,1,34.1348109722,71.1398372494,180.0390625,54.3144861635984
4859,Residential,Single Family Detached - R1,1939,1,77.8661424179,324.790269394,822.25,123.955719191272
4860,Residential,Single Family Detached - R1,989,1,66.2078354334,189.369393525,479.2890625,105.336179467013
4861,Residential,Single Family Detached - R1,1940,1,48.533496438,145.062094867,367.25,77.2111176939759
4862,Residential,Accessory Building,990,1,10.3638202038,6.70501534305,16.9609375,16.4870748473146
4863,Residential,Single Family Detached - R1,1941,1,44.144762791,108.411422206,274.46875,70.2441420214796
4864,Residential,Single Family Detached - R1,991,1,49.3101289872,146.739875993,371.3828125,78.4496939891771
4865,Residential,Single Family Detached - R1,1942,1,33.8528738222,70.9560841198,179.6328125,53.870415435029
4866,Residential,Single Family Detached - R1,992,1,44.3634573576,117.589148777,297.6015625,70.5803362648386
4867,Residential,Accessory Building,1943,1,10.7301662681,7.12781152646,18.046875,17.0706222510914
4868,Residential,Accessory Building,993,1,14.2813787676,12.6502295752,32.015625,22.7202671262068
4869,Residential,Single Family Detached - R1,1944,1,55.5341096289,168.8445987,427.4375,88.3634921018699
4870,Residential,Accessory Building,994,1,9.45892455718,5.382868833,13.6171875,15.0484088234117
4871,Residential,Accessory Building,1945,1,10.0196337764,6.25343073965,15.828125,15.9434572498042
4872,Residential,Single Family Detached - R1,995,1,46.3907353752,130.592416467,330.5078125,73.8049602200937
4873,Residential,Single Family Detached - R1,1946,1,48.2557823599,129.233844946,327.1640625,76.7717592485071
4874,Residential,Single Family Detached - R1,996,1,56.5979052457,184.236006017,466.2734375,90.0454442307883
4875,Residential,Accessory Building,997,1,13.2799818002,10.6618162951,26.9921875,21.1264853147151
4876,Residential,Single Family Detached - R1,1947,1,51.1044342696,139.754538281,353.796875,81.3398363481458
4877,Residential,Single Family Detached - R1,998,1,10.6575462529,6.99094046784,17.6953125,16.9542872528667
4878,Residential,Single Family Detached - R1,1948,1,47.1310094882,137.529984432,348.171875,74.9802136431684
4879,Residential,Accessory Building,999,1,13.8818644096,11.9796222313,30.328125,22.0846054301741
4880,Residential,Accessory Building,1949,1,38.4762663567,92.5090317083,234.1953125,61.2206380467892
4881,Residential,Single Family Detached - R1,1000,1,45.3865138675,124.868838115,316.015625,72.2060608950272
4882,Residential,Accessory Building,1950,1,13.3824207761,11.1905941968,28.328125,21.2923555347281
4883,Residential,Single Family Detached - R1,1001,1,46.0512221564,128.786143364,325.9296875,73.2638360439354
4884,Residential,Accessory Building,1951,1,13.4824738078,11.3584061652,28.765625,21.4515347392365
4885,Residential,Single Family Detached - R1,1002,1,66.274679531,246.134291859,622.8984375,105.435589586673
4886,Residential,Single Family Detached - R1,1952,1,62.896117722,211.925240393,536.5078125,100.075193162181
4887,Residential,Single Family Detached - R1,1003,1,57.2598166844,168.843538322,427.3046875,91.0954310869462
4888,Residential,Single Family Detached - R1,1953,1,79.2706005827,285.996629095,724,126.101252344266
4889,Residential,Accessory Building,1004,1,11.8545045774,8.78026252912,22.2265625,18.8586014508652
4890,Residential,Single Family Detached - R1,1954,1,49.8347197742,147.581084424,373.625,79.2908636427956
4891,Residential,Accessory Building,1005,1,14.5867918904,13.2642439228,33.5703125,23.2058050446974
4892,Residential,Single Family Detached - R1,1955,1,54.4905351455,169.246616366,428.46875,86.7185927342025
4893,Residential,Accessory Building,1006,1,10.722661389,6.99057647683,17.703125,17.0551578528299
4894,Residential,Accessory Building,1956,1,39.3800313815,96.7999624643,245.0546875,62.6534851154288
4895,Residential,Single Family Detached - R1,1007,1,48.9748547173,128.436631219,325.0390625,77.925680043586
4896,Residential,Single Family Detached - R1,1957,1,46.5077150147,133.073384076,336.875,74.0096724856389
4897,Residential,Accessory Building,1008,1,33.9579080832,71.927553746,182.03125,54.0193314998014
4898,Residential,Single Family Detached - R1,1958,1,41.4181244368,107.215178033,271.4140625,65.8996999120786
4899,Residential,Accessory Building,1009,1,11.974366131,8.93858611815,22.6171875,19.0484623243681
4900,Residential,Single Family Detached - R1,1010,1,50.9662556172,155.560167134,393.6953125,81.0567037958949
4901,Residential,Accessory Building,1959,1,44.7474827536,109.711421762,277.734375,71.1979353358295
4902,Residential,Accessory Building,1011,1,10.7494489462,7.06972043,17.8984375,17.102848347415
4903,Residential,Single Family Detached - R1,1960,1,61.8050774389,188.540151887,477.265625,98.36735017177
4904,Residential,Single Family Detached - R1,1961,1,76.4116063849,284.491523056,720.1796875,121.618166193298
4905,Residential,Single Family Detached - R1,1964,1,43.4931558816,115.916408654,293.4375,69.2021998002304
4906,Residential,Accessory Building,1965,1,27.693722091,46.3936337344,117.4375,44.0615091910498
4907,Residential,Accessory Building,1966,1,11.805975353,8.68521284898,22,18.7843922541996
4908,Residential,Accessory Building,1967,1,6.49729702657,2.63421303691,6.6640625,10.3377394829869
4909,Residential,Single Family Detached - R1,1968,1,49.1207540904,139.603192957,353.4140625,78.1525007324166
4910,Residential,Single Family Detached - R1,1969,1,51.2128154564,144.438057034,365.6484375,81.4834287121923
4911,Residential,Accessory Building,1970,1,9.69049855151,5.77063263273,14.609375,15.4185022901494
